Part Name	PB_PPI_485_48W		
Part Number	390762		
Firmware Ver	102		
Vendor Name	Xinyi
Vendor Number	4679		
			
INPUT PRIMARY(7)			
Input Voltage	120		
Input Voltage Tol.	15	15	
Input Current	0.5		
Max Input Current	0.25		
Allowable Power Interruption	0.001		
			
OUTPUT SECONDARY(14)			
Voltage Output	12		
Voltage Output Tol.	0.8	0.8	
Ripple/Noise	1		
Ripple/Noise Tol.	0	1	
Rated Output Current	2		
Rated Output Current Tol.	2	2.5	
Sense Voltage	5		
Sense Voltage Tol.	0.5	0.5	
			
OUTPUT PRIMARY(24)			
Voltage Micro	5		
Voltage Micro Tol.	0.5	1	

			
			
			
			
			
			
			
REV	0	3/20/2019	
